18,1,13,15,18,0,6,14,15,8,20,5,1,16,15
10,2,7,11,1,13,4,19,11,12,13,9,8,14,5
9,11,4,14,7,14,19,12,1,18,0,7,4,6,9
17,11,7,10,17,14,13,15,2,20,18,10,16,5,7
13,7,1,1,15,9,19,2,17,2,4,12,18,11,19
4,3,3,14,5,6,11,13,13,14,7,8,4,19,16
5,3,8,14,9,5,20,5,5,15,11,10,13,7,0
17,1,10,10,7,2,8,14,12,18,5,12,15,7,16
8,16,15,19,15,2,5,15,14,12,4,13,17,18,11
17,12,15,5,17,14,3,13,1,0,14,17,2,1,11
2,4,3,19,14,15,4,14,13,16,14,10,8,14,13
10,20,16,16,4,7,10,19,1,6,20,18,18,20,15
0,3,9,13,7,9,2,1,19,17,3,9,5,15,4
11,19,12,6,11,5,2,18,6,13,6,3,9,14,16
13,14,17,6,8,19,11,3,20,20,0,6,13,19,13
