48,31,43,45,48,30,36,44,45,38,50,35,31,46,45
40,32,37,41,31,43,34,49,41,42,43,39,38,44,35
39,41,34,44,37,44,49,42,31,48,30,37,34,36,39
47,41,37,40,47,44,43,45,32,50,48,40,46,35,37
43,37,31,31,45,39,49,32,47,32,34,42,48,41,49
34,33,33,44,35,36,41,43,43,44,37,38,34,49,46
35,33,38,44,39,35,50,35,35,45,41,40,43,37,30
47,31,40,40,37,32,38,44,42,48,35,42,45,37,46
38,46,45,49,45,32,35,45,44,42,34,43,47,48,41
47,42,45,35,47,44,33,43,31,30,44,47,32,31,41
32,34,33,49,44,45,34,44,43,46,44,40,38,44,43
40,50,46,46,34,37,40,49,31,36,50,48,48,50,45
30,33,39,43,37,39,32,31,49,47,33,39,35,45,34
41,49,42,36,41,35,32,48,36,43,36,33,39,44,46
43,44,47,36,38,49,41,33,50,50,30,36,43,49,43
